target,elo_diff,elo_hard_diff,rank_diff,rank_points_diff,elo_clay_diff,elo_grass_diff,age_diff,height_diff
1,-101.25119117160148,-10.403989153619705,27.0,-503.0,-107.34012717565906,151.78578104944995,0.8999999999999986,8.0
0,-319.6916603559539,-385.3877924777066,65.0,-2195.0,-32.99464102144589,-144.55187547750756,9.399999999999999,2.0
1,145.07388923080157,115.01144874982742,-31.0,600.0,174.54125228202452,36.32358938428388,-7.799999999999997,11.0
1,91.96731981702987,22.50150027289169,-155.0,1023.0,58.32317727237569,-32.325389900662,5.900000000000002,3.0
1,-389.2874372420579,-395.56430054513316,57.0,-4665.0,-313.43015928377076,-244.4485832696987,0.3999999999999986,-15.0
0,-561.9003449545712,-450.3236068014819,263.0,-5390.0,-317.77687301952915,-482.67783066050106,1.2999999999999972,-18.0
0,-255.8797645743848,-166.63550462297326,117.0,-919.0,-98.5449590686112,-161.3696000516279,1.2000000000000028,5.0
0,24.089894541257536,-47.73380917458667,-55.0,251.0,-65.10080253691876,-22.40875570872504,-3.700000000000003,-0.0
0,-11.928665017755293,43.47076298531147,79.0,-242.0,16.058424486716376,64.58640278910093,-1.3000000000000007,2.0
0,-360.0002687160902,-323.05031440848575,119.0,-2635.0,-171.69426892169804,-113.18091237502881,-2.6999999999999993,-0.0
0,80.30113367779268,54.54303364526163,17.0,-660.0,16.218115234570632,110.39326354195578,-3.8000000000000007,15.0
0,-445.5477905295613,-451.20803636077335,93.0,-3796.0,-301.5772324700031,-470.1377678341132,-5.599999999999998,3.0
1,-252.09757286960848,-160.95053271396046,46.0,-584.0,-221.20269525225422,-236.77130488532976,-1.5,-3.0
0,-399.59043269240124,-359.96003662337694,79.0,-3563.0,-317.9494473623297,-163.99202609496456,-1.6999999999999993,7.0
1,126.57388024617649,-68.40412785376384,-23.0,840.0,180.37354209275782,65.14442962800376,-5.799999999999997,-7.0
0,209.81637804764887,121.88408387836898,-154.0,918.0,-54.68349037698749,85.9860943455983,7.399999999999999,8.0
0,-146.70896758921003,39.54008975788565,20.0,-720.0,-219.53002960631147,-50.04082281075148,0.3000000000000007,5.0
0,-128.47757964023322,-94.4979859629766,37.0,-578.0,108.11522837552366,26.646862964369575,2.6000000000000014,-5.0
1,435.6522510620523,320.98338759328203,-79.0,3278.0,332.0589127269934,125.25309966217583,-1.4000000000000021,-2.0
1,218.05033738530028,172.95426933180374,-52.0,2380.0,171.2920763158129,37.80335573061325,-5.100000000000001,5.0
1,8.383304530826535,-40.40243083960718,-25.0,430.0,7.824889906490853,25.07661825404648,1.7999999999999972,8.0
1,-72.8315299714211,-46.483344150184166,22.0,-1035.0,-63.89950804449563,-85.45110365339883,-1.3000000000000007,7.0
0,1.0557206682094602,-31.470082566416295,18.0,-237.0,48.20579042565055,61.186304573156804,0.5,3.0
1,165.36965232206558,151.44092770616953,-115.0,1158.0,124.71697425245179,10.270068826677061,7.300000000000001,18.0
0,-203.1057657107849,-185.4896324425015,28.0,-669.0,24.657605862499395,-269.6902425621954,4.799999999999997,-23.0
0,-269.204011161906,-280.3904577808971,23.0,-4250.0,-159.58680045239157,-287.36973074173625,5.699999999999996,-3.0
1,363.1265631971298,258.85616155579214,-100.0,1432.0,197.4903499744271,129.602708443839,0.5,-5.0
1,-47.66062636637048,-24.080812106628855,23.0,-369.0,-10.736954663871757,81.94848603393189,-3.6999999999999993,0.0
1,387.8283720018219,374.87452766760066,-68.0,4948.0,490.9721685305126,192.35331389145267,6.199999999999999,-5.0
1,415.9402888695397,294.6706552111557,-31.0,11885.0,442.5379271436336,312.07341083564097,0.3000000000000007,-8.0
1,-43.39253615439975,-221.33821958517046,9.0,-1330.0,12.789199501225312,-28.000689890201784,4.199999999999999,-3.0
